,step,total_loss,domain_loss,label_loss,domain_acc,label_acc,p,l,lr
0,0.0,3.844,0.8,3.044,0.5,0.031,0.0,0.0,0.01
1,1.0,3.217,0.797,2.42,0.531,0.125,0.0,0.001,0.01
2,2.0,3.141,0.798,2.343,0.516,0.25,0.0,0.001,0.01
3,3.0,3.008,0.564,2.444,0.609,0.125,0.0,0.002,0.01
4,4.0,2.979,0.631,2.348,0.609,0.156,0.0,0.002,0.01
5,5.0,2.767,0.366,2.401,0.875,0.094,0.001,0.003,0.01
6,6.0,2.814,0.477,2.336,0.797,0.062,0.001,0.003,0.01
7,7.0,2.79,0.512,2.279,0.75,0.031,0.001,0.004,0.01
8,8.0,2.472,0.264,2.208,0.969,0.188,0.001,0.005,0.01
9,9.0,2.641,0.34,2.301,0.891,0.062,0.001,0.005,0.01
10,10.0,2.598,0.363,2.235,0.812,0.156,0.001,0.006,0.01
11,11.0,2.478,0.248,2.23,0.938,0.219,0.001,0.006,0.01
12,12.0,2.385,0.242,2.143,0.875,0.25,0.001,0.007,0.01
13,13.0,2.394,0.181,2.212,0.938,0.125,0.002,0.008,0.01
14,14.0,2.419,0.336,2.083,0.859,0.375,0.002,0.008,0.01
15,15.0,2.34,0.196,2.144,0.922,0.312,0.002,0.009,0.01
16,16.0,2.434,0.231,2.202,0.922,0.125,0.002,0.009,0.01
17,17.0,2.377,0.197,2.18,0.969,0.156,0.002,0.01,0.01
18,18.0,2.262,0.216,2.047,0.969,0.281,0.002,0.01,0.01
19,19.0,2.026,0.144,1.882,0.969,0.344,0.002,0.011,0.01
20,20.0,2.256,0.134,2.122,0.969,0.188,0.002,0.012,0.01
21,21.0,2.195,0.206,1.988,0.938,0.25,0.002,0.012,0.01
22,22.0,2.187,0.228,1.959,0.891,0.25,0.003,0.013,0.01
23,23.0,2.083,0.261,1.822,0.906,0.469,0.003,0.013,0.01
24,24.0,2.221,0.324,1.896,0.875,0.406,0.003,0.014,0.01
25,25.0,2.04,0.313,1.727,0.875,0.344,0.003,0.015,0.01
26,26.0,1.902,0.197,1.705,0.953,0.406,0.003,0.015,0.01
27,27.0,1.819,0.126,1.693,0.953,0.5,0.003,0.016,0.01
28,28.0,1.67,0.11,1.56,0.953,0.562,0.003,0.016,0.01
29,29.0,1.914,0.224,1.69,0.938,0.375,0.003,0.017,0.01
30,30.0,1.976,0.183,1.793,0.953,0.375,0.003,0.017,0.01
31,31.0,1.529,0.124,1.405,0.969,0.625,0.004,0.018,0.01
32,32.0,2.044,0.106,1.938,0.953,0.281,0.004,0.019,0.01
33,33.0,1.464,0.128,1.337,0.953,0.562,0.004,0.019,0.01
34,34.0,1.638,0.215,1.423,0.938,0.562,0.004,0.02,0.01
35,35.0,1.198,0.11,1.089,0.969,0.75,0.004,0.02,0.01
36,36.0,1.534,0.278,1.257,0.875,0.469,0.004,0.021,0.01
37,37.0,1.567,0.055,1.512,0.984,0.375,0.004,0.022,0.01
38,38.0,1.592,0.15,1.442,0.953,0.469,0.004,0.022,0.01
39,39.0,1.739,0.184,1.555,0.922,0.531,0.005,0.023,0.01
40,40.0,1.528,0.251,1.276,0.891,0.625,0.005,0.023,0.01
41,41.0,1.608,0.045,1.563,1.0,0.469,0.005,0.024,0.01
42,42.0,1.82,0.325,1.495,0.922,0.438,0.005,0.024,0.01
43,43.0,1.433,0.168,1.265,0.922,0.594,0.005,0.025,0.01
44,44.0,1.636,0.119,1.517,0.953,0.438,0.005,0.026,0.01
45,45.0,1.684,0.217,1.467,0.922,0.438,0.005,0.026,0.01
46,46.0,1.821,0.278,1.543,0.891,0.531,0.005,0.027,0.01
47,47.0,1.455,0.125,1.33,0.969,0.5,0.005,0.027,0.01
48,48.0,1.709,0.227,1.482,0.891,0.5,0.006,0.028,0.01
49,49.0,1.609,0.149,1.46,0.969,0.5,0.006,0.028,0.01
50,50.0,1.814,0.29,1.524,0.875,0.375,0.006,0.029,0.01
51,51.0,1.345,0.195,1.15,0.922,0.719,0.006,0.03,0.01
52,52.0,1.362,0.14,1.223,0.906,0.5,0.006,0.03,0.01
53,53.0,1.319,0.249,1.07,0.875,0.594,0.006,0.031,0.01
54,54.0,1.199,0.184,1.015,0.969,0.625,0.006,0.031,0.01
55,55.0,1.344,0.056,1.288,0.984,0.562,0.006,0.032,0.01
56,56.0,1.455,0.232,1.223,0.938,0.562,0.007,0.033,0.01
57,57.0,1.388,0.185,1.203,0.922,0.594,0.007,0.033,0.01
58,58.0,1.032,0.271,0.761,0.922,0.812,0.007,0.034,0.01
59,59.0,0.931,0.11,0.821,0.938,0.688,0.007,0.034,0.01
60,60.0,1.052,0.341,0.711,0.906,0.719,0.007,0.035,0.01
61,61.0,1.336,0.162,1.174,0.953,0.594,0.007,0.035,0.009
62,62.0,1.385,0.265,1.12,0.859,0.562,0.007,0.036,0.009
63,63.0,1.049,0.185,0.864,0.922,0.656,0.007,0.037,0.009
64,64.0,1.028,0.155,0.873,0.969,0.719,0.007,0.037,0.009
65,65.0,0.977,0.217,0.76,0.938,0.719,0.008,0.038,0.009
66,66.0,1.075,0.121,0.954,0.938,0.719,0.008,0.038,0.009
67,67.0,0.919,0.117,0.802,0.953,0.625,0.008,0.039,0.009
68,68.0,0.828,0.072,0.755,0.984,0.75,0.008,0.04,0.009
69,69.0,1.149,0.151,0.998,0.938,0.594,0.008,0.04,0.009
70,70.0,1.378,0.128,1.25,0.953,0.562,0.008,0.041,0.009
71,71.0,1.031,0.119,0.912,0.984,0.594,0.008,0.041,0.009
72,72.0,1.147,0.113,1.034,0.953,0.719,0.008,0.042,0.009
73,73.0,0.817,0.066,0.751,0.969,0.75,0.008,0.042,0.009
74,74.0,0.633,0.096,0.537,0.969,0.781,0.009,0.043,0.009
75,75.0,1.393,0.284,1.109,0.906,0.688,0.009,0.044,0.009
76,76.0,0.864,0.152,0.712,0.969,0.781,0.009,0.044,0.009
77,77.0,0.896,0.158,0.738,0.953,0.719,0.009,0.045,0.009
78,78.0,1.043,0.17,0.873,0.922,0.719,0.009,0.045,0.009
79,79.0,0.823,0.153,0.67,0.969,0.75,0.009,0.046,0.009
80,80.0,0.674,0.103,0.572,0.984,0.844,0.009,0.046,0.009
81,81.0,1.114,0.286,0.828,0.891,0.688,0.009,0.047,0.009
82,82.0,0.696,0.158,0.538,0.953,0.781,0.01,0.048,0.009
83,83.0,0.887,0.206,0.681,0.922,0.75,0.01,0.048,0.009
84,84.0,0.847,0.112,0.735,0.953,0.812,0.01,0.049,0.009
85,85.0,1.048,0.143,0.906,0.938,0.719,0.01,0.049,0.009
86,86.0,0.744,0.224,0.52,0.922,0.812,0.01,0.05,0.009
87,87.0,0.848,0.208,0.639,0.891,0.812,0.01,0.051,0.009
88,88.0,0.691,0.164,0.527,0.953,0.906,0.01,0.051,0.009
89,89.0,0.662,0.217,0.445,0.922,0.844,0.01,0.052,0.009
90,90.0,1.132,0.326,0.805,0.906,0.812,0.01,0.052,0.009
91,91.0,0.516,0.157,0.359,0.922,0.906,0.011,0.053,0.009
92,92.0,0.524,0.151,0.373,0.953,0.906,0.011,0.053,0.009
93,93.0,0.647,0.165,0.482,0.922,0.875,0.011,0.054,0.009
94,94.0,0.792,0.135,0.657,0.953,0.75,0.011,0.055,0.009
95,95.0,0.501,0.223,0.279,0.938,0.938,0.011,0.055,0.009
96,96.0,0.655,0.177,0.478,0.953,0.844,0.011,0.056,0.009
97,97.0,0.644,0.13,0.514,0.953,0.781,0.011,0.056,0.009
98,98.0,0.658,0.166,0.492,0.953,0.781,0.011,0.057,0.009
99,99.0,0.749,0.155,0.594,0.938,0.844,0.012,0.057,0.009
100,100.0,0.76,0.168,0.592,0.953,0.812,0.012,0.058,0.009
101,101.0,0.44,0.146,0.295,0.938,0.875,0.012,0.059,0.009
102,102.0,0.803,0.111,0.692,0.969,0.75,0.012,0.059,0.009
103,103.0,0.732,0.179,0.554,0.938,0.75,0.012,0.06,0.009
104,104.0,0.609,0.281,0.328,0.891,0.906,0.012,0.06,0.009
105,105.0,0.495,0.146,0.348,0.953,0.875,0.012,0.061,0.009
106,106.0,0.603,0.276,0.327,0.906,0.844,0.012,0.062,0.009
107,107.0,0.596,0.133,0.463,0.953,0.844,0.012,0.062,0.009
108,108.0,1.175,0.152,1.023,0.922,0.688,0.013,0.063,0.009
109,109.0,0.807,0.248,0.559,0.891,0.781,0.013,0.063,0.009
110,110.0,0.621,0.159,0.462,0.906,0.844,0.013,0.064,0.009
111,111.0,0.69,0.162,0.528,0.953,0.906,0.013,0.064,0.009
112,112.0,0.579,0.164,0.415,0.938,0.812,0.013,0.065,0.009
113,113.0,0.683,0.175,0.507,0.953,0.812,0.013,0.066,0.009
114,114.0,1.081,0.111,0.97,0.969,0.688,0.013,0.066,0.009
115,115.0,0.841,0.279,0.562,0.891,0.781,0.013,0.067,0.009
116,116.0,0.464,0.085,0.378,0.969,0.812,0.013,0.067,0.009
117,117.0,0.293,0.057,0.236,0.969,0.906,0.014,0.068,0.009
