,step,total_loss,domain_loss,label_loss,domain_acc,label_acc,p,l,lr
0,0.0,4.994,1.257,3.737,0.5,0.062,0.0,0.0,0.01
1,1.0,4.235,1.693,2.542,0.5,0.125,0.0,0.001,0.01
2,2.0,3.355,0.889,2.467,0.562,0.094,0.0,0.001,0.01
3,3.0,3.487,0.561,2.925,0.734,0.062,0.0,0.002,0.01
4,4.0,2.994,0.197,2.797,0.906,0.094,0.0,0.002,0.01
5,5.0,2.48,0.381,2.1,0.812,0.25,0.001,0.003,0.01
6,6.0,2.339,0.2,2.138,0.922,0.25,0.001,0.003,0.01
7,7.0,2.444,0.271,2.173,0.906,0.344,0.001,0.004,0.01
8,8.0,2.297,0.211,2.087,0.906,0.281,0.001,0.005,0.01
9,9.0,2.098,0.254,1.844,0.891,0.438,0.001,0.005,0.01
10,10.0,2.046,0.146,1.9,0.938,0.5,0.001,0.006,0.01
11,11.0,2.105,0.416,1.688,0.828,0.562,0.001,0.006,0.01
12,12.0,2.018,0.076,1.942,0.953,0.375,0.001,0.007,0.01
13,13.0,1.964,0.076,1.889,0.984,0.406,0.002,0.008,0.01
14,14.0,1.631,0.11,1.521,0.969,0.469,0.002,0.008,0.01
15,15.0,1.831,0.254,1.577,0.922,0.406,0.002,0.009,0.01
16,16.0,2.171,0.16,2.011,0.953,0.281,0.002,0.009,0.01
17,17.0,1.993,0.515,1.479,0.891,0.625,0.002,0.01,0.01
18,18.0,1.582,0.171,1.411,0.938,0.594,0.002,0.01,0.01
19,19.0,1.777,0.473,1.304,0.75,0.594,0.002,0.011,0.01
20,20.0,1.332,0.165,1.167,0.938,0.75,0.002,0.012,0.01
21,21.0,2.001,0.489,1.512,0.906,0.5,0.002,0.012,0.01
22,22.0,1.653,0.429,1.223,0.891,0.625,0.003,0.013,0.01
23,23.0,1.646,0.455,1.191,0.922,0.625,0.003,0.013,0.01
24,24.0,1.62,0.522,1.098,0.891,0.594,0.003,0.014,0.01
25,25.0,1.561,0.147,1.414,0.922,0.5,0.003,0.015,0.01
26,26.0,1.583,0.8,0.782,0.844,0.75,0.003,0.015,0.01
27,27.0,1.56,0.456,1.104,0.891,0.656,0.003,0.016,0.01
28,28.0,1.054,0.279,0.775,0.906,0.75,0.003,0.016,0.01
29,29.0,1.474,0.947,0.527,0.812,0.781,0.003,0.017,0.01
30,30.0,1.685,0.55,1.134,0.875,0.656,0.003,0.017,0.01
31,31.0,1.276,0.181,1.095,0.953,0.75,0.004,0.018,0.01
32,32.0,1.112,0.389,0.723,0.766,0.719,0.004,0.019,0.01
33,33.0,1.883,0.382,1.501,0.859,0.562,0.004,0.019,0.01
34,34.0,0.621,0.121,0.5,0.969,0.812,0.004,0.02,0.01
35,35.0,1.401,0.258,1.142,0.922,0.656,0.004,0.02,0.01
