,step,mnist-acc,mnistm-acc,domain-acc
0,0.0,0.09375,0.125,0.5
1,10.0,0.21875,0.15625,0.5
2,20.0,0.1875,0.03125,0.5
3,30.0,0.09375,0.03125,0.5
4,40.0,0.34375,0.09375,0.609375
5,50.0,0.3125,0.09375,0.703125
6,60.0,0.59375,0.21875,0.5625
7,70.0,0.5,0.28125,0.765625
8,80.0,0.3125,0.25,0.78125
9,90.0,0.53125,0.21875,0.890625
10,100.0,0.8125,0.25,0.71875
11,110.0,0.6875,0.40625,0.859375
12,120.0,0.84375,0.5625,0.8125
13,130.0,0.71875,0.28125,0.8125
14,140.0,0.84375,0.4375,0.71875
15,150.0,0.875,0.59375,0.78125
16,160.0,0.84375,0.46875,0.8125
17,170.0,0.84375,0.46875,0.828125
18,180.0,0.84375,0.53125,0.890625
19,190.0,0.84375,0.4375,0.890625
20,200.0,0.8125,0.46875,0.875
21,210.0,0.84375,0.625,0.703125
22,220.0,0.9375,0.53125,0.6875
23,230.0,0.9375,0.5,0.796875
24,240.0,0.875,0.40625,0.890625
25,250.0,0.9375,0.21875,0.9375
26,260.0,0.875,0.34375,0.96875
27,270.0,0.9375,0.4375,0.875
28,280.0,1.0,0.46875,0.921875
29,290.0,0.8125,0.46875,0.9375
30,300.0,0.875,0.625,0.828125
31,310.0,0.96875,0.53125,0.890625
32,320.0,0.90625,0.46875,0.90625
33,330.0,0.875,0.71875,0.875
34,340.0,0.875,0.5625,0.953125
35,350.0,0.9375,0.40625,0.890625
36,360.0,0.9375,0.65625,0.90625
37,370.0,1.0,0.5625,0.859375
38,380.0,0.96875,0.5625,0.953125
39,390.0,0.90625,0.65625,0.875
40,400.0,0.96875,0.53125,0.921875
41,410.0,0.9375,0.53125,0.9375
42,420.0,0.96875,0.5,0.96875
43,430.0,0.96875,0.65625,0.9375
44,440.0,0.96875,0.5,0.921875
45,450.0,0.875,0.53125,0.90625
46,460.0,1.0,0.65625,0.90625
47,470.0,0.96875,0.59375,1.0
48,480.0,0.90625,0.625,0.9375
49,490.0,0.96875,0.375,0.953125
50,500.0,0.90625,0.59375,0.921875
51,510.0,1.0,0.40625,0.984375
52,520.0,0.96875,0.6875,0.90625
53,530.0,1.0,0.5,0.9375
54,540.0,0.96875,0.5,0.9375
55,550.0,0.96875,0.5,0.921875
56,560.0,0.96875,0.53125,0.890625
57,570.0,1.0,0.53125,0.90625
58,580.0,0.96875,0.78125,0.921875
59,590.0,0.9375,0.53125,0.90625
60,600.0,0.96875,0.65625,0.875
61,610.0,0.96875,0.4375,0.953125
62,620.0,0.9375,0.59375,0.9375
63,630.0,0.96875,0.5625,0.953125
64,640.0,0.96875,0.46875,0.890625
65,650.0,0.9375,0.5,0.9375
66,660.0,0.90625,0.46875,0.984375
67,670.0,0.90625,0.5625,0.953125
68,680.0,0.90625,0.71875,0.953125
69,690.0,0.90625,0.4375,0.984375
70,700.0,1.0,0.59375,1.0
71,710.0,0.96875,0.5,0.953125
72,720.0,1.0,0.4375,0.96875
73,730.0,0.96875,0.46875,0.9375
74,740.0,0.96875,0.65625,0.859375
75,750.0,0.96875,0.5625,0.9375
76,760.0,0.9375,0.5,0.96875
77,770.0,1.0,0.5,0.90625
78,780.0,1.0,0.625,0.921875
79,790.0,0.96875,0.40625,0.9375
80,800.0,0.96875,0.59375,0.9375
81,810.0,0.96875,0.34375,0.984375
82,820.0,0.90625,0.5625,0.984375
83,830.0,0.96875,0.46875,0.953125
84,840.0,0.96875,0.53125,0.921875
85,850.0,0.96875,0.4375,0.96875
86,860.0,0.9375,0.65625,0.875
87,870.0,0.96875,0.5625,0.9375
88,880.0,0.84375,0.71875,0.890625
89,890.0,0.96875,0.6875,0.921875
90,900.0,1.0,0.59375,0.96875
91,910.0,0.9375,0.5625,0.9375
92,920.0,0.96875,0.53125,0.953125
93,930.0,0.96875,0.59375,0.984375
94,940.0,1.0,0.59375,0.90625
95,950.0,1.0,0.59375,0.9375
96,960.0,0.96875,0.65625,0.921875
97,970.0,1.0,0.65625,0.953125
98,980.0,0.96875,0.53125,0.921875
99,990.0,1.0,0.625,0.859375
100,1000.0,0.96875,0.8125,0.90625
101,1010.0,1.0,0.625,0.921875
102,1020.0,0.96875,0.53125,0.890625
103,1030.0,0.9375,0.53125,0.9375
104,1040.0,0.9375,0.5625,0.90625
