,step,mnist-acc,mnistm-acc,domain-acc
0,0.0,0.125,0.0,0.484375
1,10.0,0.09375,0.1875,0.5
2,20.0,0.0625,0.03125,0.5
3,30.0,0.09375,0.125,0.5
4,40.0,0.09375,0.1875,0.65625
5,50.0,0.09375,0.03125,0.71875
6,60.0,0.3125,0.09375,0.5625
7,70.0,0.5,0.125,0.515625
8,80.0,0.46875,0.40625,0.625
9,90.0,0.34375,0.0625,0.859375
10,100.0,0.4375,0.15625,0.765625
11,110.0,0.46875,0.21875,0.765625
12,120.0,0.53125,0.375,0.78125
13,130.0,0.84375,0.375,0.59375
14,140.0,0.84375,0.40625,0.875
15,150.0,0.78125,0.3125,0.734375
16,160.0,0.71875,0.4375,0.78125
17,170.0,0.9375,0.34375,0.875
18,180.0,0.875,0.28125,0.84375
19,190.0,0.875,0.59375,0.765625
20,200.0,0.96875,0.625,0.515625
21,210.0,0.84375,0.6875,0.71875
22,220.0,0.78125,0.5,0.765625
23,230.0,0.84375,0.46875,0.71875
24,240.0,0.90625,0.46875,0.8125
25,250.0,0.90625,0.53125,0.78125
26,260.0,0.8125,0.53125,0.859375
27,270.0,0.96875,0.5,0.84375
28,280.0,0.875,0.5,0.84375
29,290.0,0.875,0.59375,0.78125
30,300.0,0.75,0.46875,0.828125
31,310.0,0.96875,0.5625,0.796875
32,320.0,0.9375,0.625,0.71875
33,330.0,0.9375,0.5,0.75
34,340.0,0.96875,0.46875,0.90625
35,350.0,0.96875,0.40625,0.875
36,360.0,0.84375,0.65625,0.765625
37,370.0,0.875,0.625,0.890625
38,380.0,0.84375,0.5,0.921875
39,390.0,0.96875,0.65625,0.921875
40,400.0,0.9375,0.46875,0.96875
41,410.0,0.875,0.5,0.921875
42,420.0,0.96875,0.53125,0.984375
43,430.0,0.96875,0.4375,0.921875
44,440.0,0.90625,0.65625,0.9375
45,450.0,0.90625,0.46875,0.96875
46,460.0,0.96875,0.59375,0.9375
47,470.0,1.0,0.75,0.953125
48,480.0,0.96875,0.5,0.921875
49,490.0,0.96875,0.5,0.921875
50,500.0,1.0,0.53125,0.90625
51,510.0,0.96875,0.59375,0.96875
52,520.0,0.96875,0.71875,0.953125
53,530.0,0.875,0.6875,0.90625
54,540.0,0.875,0.5,0.921875
55,550.0,0.96875,0.53125,0.96875
56,560.0,0.875,0.59375,0.875
57,570.0,0.96875,0.65625,0.921875
58,580.0,0.90625,0.65625,0.921875
59,590.0,0.96875,0.5625,0.890625
60,600.0,0.96875,0.59375,0.9375
61,610.0,1.0,0.625,0.921875
62,620.0,0.96875,0.53125,0.953125
63,630.0,0.90625,0.59375,0.921875
64,640.0,1.0,0.5,0.984375
65,650.0,0.9375,0.53125,0.953125
66,660.0,1.0,0.5625,1.0
67,670.0,0.9375,0.5625,0.90625
68,680.0,0.90625,0.5,0.96875
69,690.0,0.9375,0.625,0.890625
70,700.0,0.90625,0.65625,0.90625
71,710.0,0.96875,0.625,0.875
72,720.0,0.9375,0.625,0.9375
73,730.0,1.0,0.59375,0.984375
74,740.0,1.0,0.53125,0.859375
75,750.0,0.96875,0.625,0.84375
76,760.0,1.0,0.71875,0.90625
77,770.0,0.96875,0.625,0.9375
78,780.0,1.0,0.65625,0.921875
79,790.0,0.9375,0.375,0.875
80,800.0,0.96875,0.53125,0.71875
81,810.0,1.0,0.625,0.890625
82,820.0,0.96875,0.5,0.828125
83,830.0,1.0,0.78125,0.625
84,840.0,0.90625,0.40625,0.84375
85,850.0,1.0,0.53125,0.734375
86,860.0,0.96875,0.65625,0.859375
87,870.0,0.90625,0.5,0.625
88,880.0,0.96875,0.71875,0.6875
89,890.0,0.90625,0.53125,0.75
90,900.0,0.90625,0.53125,0.546875
91,910.0,0.25,0.375,0.5
92,920.0,0.8125,0.4375,0.609375
93,930.0,0.84375,0.5625,0.734375
94,940.0,0.875,0.625,0.859375
95,950.0,0.9375,0.53125,0.75
96,960.0,0.90625,0.46875,0.75
97,970.0,0.9375,0.65625,0.890625
98,980.0,0.875,0.65625,0.890625
99,990.0,0.90625,0.5,0.9375
100,1000.0,1.0,0.53125,0.90625
101,1010.0,0.96875,0.65625,0.890625
102,1020.0,0.8125,0.71875,0.9375
103,1030.0,0.96875,0.625,0.96875
104,1040.0,0.96875,0.40625,0.953125
105,1050.0,0.9375,0.53125,0.953125
106,1060.0,0.8125,0.5,0.953125
